question_id,source,company,section,topic,difficulty,question,option_a,option_b,option_c,option_d,correct_answer
818,PrepMaster,General,AI & ML,Training,Hard,What is supervised contrastive learning?,Self-supervised,Semi-supervised,Uses label information to group same-class samples in embedding space,Unsupervised,C
819,PrepMaster,General,AI & ML,ML Basics,Medium,What is the bias in a neural network?,Loss parameter,Learnable parameter added to weighted sum before activation,Weight parameter,Gradient parameter,B
820,PrepMaster,General,AI & ML,ML Basics,Hard,What is the universal approximation theorem?,Requires deep networks,A feedforward network with one hidden layer can approximate any continuous function,Only for CNNs,Only for linear functions,B
821,PrepMaster,General,AI & ML,ML Basics,Medium,What is semi-supervised learning?,Self-supervised,Uses small labeled dataset and large unlabeled dataset together,Unsupervised only,Fully supervised,B
822,PrepMaster,General,AI & ML,ML Basics,Hard,What is self-supervised learning?,"Creates labels from data itself (predict masked tokens, next frame)",Unsupervised clustering,Reinforcement learning,Supervised with labels,A
823,PrepMaster,General,AI & ML,ML Basics,Hard,What is the manifold hypothesis?,Real-world data lies on low-dimensional manifold in high-dimensional space,Data is linear,Data is sparse,Data is random,A
824,PrepMaster,General,AI & ML,ML Basics,Hard,What is the Occam's razor principle in ML?,No preference,Dataset-dependent,Prefer simpler models when they explain data equally well,Prefer complex models,C
825,PrepMaster,General,AI & ML,ML Basics,Medium,What is a calibrated model?,Predicted probability 0.7 means 70% of such predictions are actually correct,Fast model,Accurate model,Regularized model,A
826,PrepMaster,General,AI & ML,ML Basics,Hard,What is the F-beta score?,Accuracy variant,Weighted harmonic mean of precision and recall: beta>1 weights recall more,Precision variant,F1 variant,B
827,PrepMaster,General,AI & ML,ML Basics,Medium,What is stratified k-fold cross-validation?,Preserves class distribution in each fold — better for imbalanced datasets,Leave-one-out,Holdout method,Standard k-fold,A
828,PrepMaster,General,AI & ML,ML Basics,Hard,What is the imbalanced dataset problem?,No problem,Only for regression,"Model biased toward majority class — use oversampling, undersampling, or class weights",Only for deep learning,C
829,PrepMaster,General,AI & ML,ML Basics,Hard,What is class weight in ML?,Feature weight,Sample weight,Model weight,Penalizes misclassification of minority class more during training,D
830,PrepMaster,General,AI & ML,ML Basics,Medium,What is the precision-recall tradeoff?,No tradeoff,Increasing threshold raises precision but lowers recall and vice versa,Both decrease,Both increase,B
831,PrepMaster,General,AI & ML,ML Basics,Hard,What is isotonic regression for calibration?,Temperature scaling,Histogram binning,Non-parametric method mapping predicted scores to calibrated probabilities,Platt scaling,C
832,PrepMaster,General,AI & ML,ML Basics,Medium,What is the dummy classifier?,Deep classifier,Advanced classifier,Ensemble classifier,"Baseline classifier using simple rules (most frequent, random) to compare against",D
833,PrepMaster,General,AI & ML,ML Basics,Hard,What is the Matthews Correlation Coefficient?,Balanced metric for binary classification considering all four confusion matrix cells,Cohen's kappa,F1 score,ROC AUC,A
834,PrepMaster,General,AI & ML,ML Basics,Medium,What is Cohen's kappa?,Accuracy,Measures agreement between predicted and actual labels accounting for chance,F1 score,MCC,B
835,PrepMaster,General,AI & ML,ML Basics,Hard,What is the Brier score?,Cross-entropy,Mean squared error of probabilistic predictions — lower is better,Log loss,ROC AUC,B
836,PrepMaster,General,AI & ML,ML Basics,Medium,What is log loss (binary cross-entropy)?,Brier score,Penalizes confident wrong predictions more than uncertain wrong ones,Hinge loss,MSE,B
837,PrepMaster,General,AI & ML,ML Basics,Hard,What is the hinge loss?,MSE,"Used in SVM: max(0, 1 - y*f(x)) — zero loss for correct confident predictions",Cross-entropy,Log loss,B
838,PrepMaster,General,AI & ML,ML Basics,Hard,What is focal loss?,Down-weights easy examples so model focuses on hard cases (used in object detection),Dice loss,Cross-entropy,Hinge loss,A
839,PrepMaster,General,AI & ML,ML Basics,Hard,What is dice loss?,Focal loss,IoU loss,BCE loss,Overlap measure between predicted and true segmentation masks,D
840,PrepMaster,General,AI & ML,ML Basics,Medium,What is multi-label classification?,Multi-class,Each sample can belong to multiple classes simultaneously,Ordinal classification,Binary classification,B
841,PrepMaster,General,AI & ML,ML Basics,Hard,What is ordinal regression?,Predicts ordered categories (low/medium/high) respecting natural ordering,Binary,Ranking,Multi-class,A
842,PrepMaster,General,AI & ML,ML Basics,Medium,What is regression to the mean?,Extreme observations tend to be followed by more average ones,Overfitting,Bias,Underfitting,A
843,PrepMaster,General,AI & ML,ML Basics,Hard,What is Pearson correlation limitation?,Measures all,Only measures linear relationships — misses non-linear dependencies,No limitation,Best for all,B
844,PrepMaster,General,AI & ML,ML Basics,Hard,What is Spearman correlation?,Kendall tau,Rank-based correlation detecting monotonic (not just linear) relationships,Pearson variant,Point-biserial,B
845,PrepMaster,General,AI & ML,ML Basics,Hard,What is the central limit theorem relevance to ML?,Only for deep learning,Only for statistics,No relevance,Large samples from any distribution have normally distributed means — justifies many ML assumptions,D
846,PrepMaster,General,AI & ML,Training,Hard,What is gradient-free optimization?,"Evolutionary algorithms, particle swarm — no gradient needed",SGD,Adam,Gradient descent,A
847,PrepMaster,General,AI & ML,Training,Hard,What is the lottery ticket hypothesis?,Dense only,Random pruning,Dense networks contain sparse subnetworks (winning tickets) that train effectively alone,No subnetworks,C
848,PrepMaster,General,AI & ML,Training,Hard,What is magnitude pruning?,Remove weights with smallest absolute values for model compression,Layer pruning,Structured pruning,Random pruning,A
849,PrepMaster,General,AI & ML,Training,Hard,What is structured pruning?,Weight pruning,Unstructured pruning,Remove entire filters/layers rather than individual weights,Random pruning,C
850,PrepMaster,General,AI & ML,Training,Hard,What is quantization-aware training benefit?,Slower training,Same accuracy,No benefit,Model learns to be robust to quantization during training — better accuracy than post-training,D
851,PrepMaster,General,AI & ML,Training,Hard,What is the straight-through estimator?,Approximates gradient of discrete/non-differentiable operations for backprop,Zero gradient,Standard gradient,Clipped gradient,A
852,PrepMaster,General,AI & ML,Training,Hard,What is neural network surgery?,Pruning,Fine-tuning,"Modifying trained network architecture (add layers, change connections)",Transfer learning,C
853,PrepMaster,General,AI & ML,Training,Medium,What is the purpose of a validation curve?,ROC curve,Shows how a hyperparameter affects train vs validation performance,Learning curve,Calibration curve,B
854,PrepMaster,General,AI & ML,Training,Hard,What is the double descent phenomenon?,No such phenomenon,"Test error decreases, then increases (classical overfitting), then decreases again with more params",Standard overfitting,Only for DNNs,B
855,PrepMaster,General,AI & ML,Training,Hard,What is grokking in deep learning?,Standard training,Transfer learning,Model suddenly generalizes long after achieving perfect training accuracy,Overfitting,C
856,PrepMaster,General,AI & ML,ML Basics,Hard,What is Simpson's paradox in ML?,No such paradox,Only in causality,Only in statistics,Trend appears in groups but reverses when groups are combined — data aggregation issue,D
857,PrepMaster,General,AI & ML,ML Basics,Hard,What is causal inference vs correlation?,Correlation implies causation,Same,Causation is easier,Causal: establishes cause-effect; Correlation: only association,D
858,PrepMaster,General,AI & ML,ML Basics,Hard,What is propensity score matching?,A/B testing,Controls for confounders in observational studies to estimate causal effect,Regression,Random assignment,B
859,PrepMaster,General,AI & ML,ML Basics,Hard,What is an instrumental variable?,Control variable,Variable correlated with treatment but not outcome except through treatment — enables causal inference,Confounding variable,Mediating variable,B
860,PrepMaster,General,AI & ML,ML Basics,Medium,What is A/B testing in ML context?,Controlled experiment comparing two model versions on real users,Cross-validation,Offline evaluation,Backtesting,A
861,PrepMaster,General,AI & ML,ML Basics,Hard,What is the multiple comparisons problem?,Running many statistical tests inflates false positive rate,Single comparison,Power issue,Type II error,A
862,PrepMaster,General,AI & ML,ML Basics,Hard,What is Bonferroni correction?,BH correction,Holm correction,No correction,Divide significance threshold by number of tests to control family-wise error rate,D
863,PrepMaster,General,AI & ML,ML Basics,Hard,What is bootstrap confidence interval?,T-interval,Normal CI,Z-interval,Resample data with replacement many times to estimate sampling distribution,D
864,PrepMaster,General,AI & ML,ML Basics,Medium,What is effect size in ML experiments?,Confidence interval,Magnitude of difference between models — statistical significance doesn't guarantee practical importance,Standard error,P-value,B
865,PrepMaster,General,AI & ML,ML Basics,Hard,What is Bayesian A/B testing?,Z-test,Compute posterior probability one variant is better instead of p-values,Frequentist A/B,T-test,B
866,PrepMaster,General,AI & ML,ML Basics,Hard,What is power analysis?,Effect analysis,Determines minimum sample size needed to detect an effect with given probability,Error analysis,Variance analysis,B
867,PrepMaster,General,AI & ML,ML Basics,Hard,What is the type I error (false positive)?,Type II error,Correct rejection,Rejecting null hypothesis when it's actually true,No error,C
868,PrepMaster,General,AI & ML,ML Basics,Hard,What is the type II error (false negative)?,Type I error,Correct acceptance,Failing to reject null hypothesis when it's actually false,No error,C
869,PrepMaster,General,AI & ML,ML Basics,Medium,What is the p-value?,Error probability,Probability null is true,Probability of observing results as extreme as current ones if null hypothesis is true,Confidence level,C
870,PrepMaster,General,AI & ML,ML Basics,Hard,What is the reproducibility crisis relevance to ML?,Not relevant,Well-solved problem,"Many ML results don't reproduce due to random seeds, data splits, implementation details",Only in academia,C
871,PrepMaster,General,AI & ML,ML Basics,Hard,What is the generalization gap?,Variance,Bias,Difference between training performance and test performance,Overfitting metric,C
872,PrepMaster,General,AI & ML,ML Basics,Hard,What is the Vapnik-Chervonenkis (VC) dimension?,Kernel size,Information gain,Margin size,Measure of capacity/expressiveness of a hypothesis class,D
873,PrepMaster,General,AI & ML,ML Basics,Medium,What is the empirical risk minimization?,Regularized risk,Minimize loss on training data as proxy for true risk minimization,Bayes risk,Structural risk,B
874,PrepMaster,General,AI & ML,ML Basics,Hard,What is Rademacher complexity?,Margin theory,Information gain,Measures model class's ability to fit random noise — bounds generalization error,VC dimension,C
875,PrepMaster,General,AI & ML,ML Basics,Medium,What is transfer learning benefit?,Slower training,Worse accuracy,Pretrained features from source task accelerate learning on target task,No benefit,C
876,PrepMaster,General,AI & ML,ML Basics,Hard,What is domain adaptation?,Transfer learning,Multi-task learning,Few-shot learning,Transferring model from source domain to related target domain with distribution shift,D
877,PrepMaster,General,AI & ML,ML Basics,Hard,What is label shift (prior probability shift)?,Concept drift,Covariate shift,Class distribution differs between train and test but P(x|y) is the same,Dataset shift,C
878,PrepMaster,General,AI & ML,ML Basics,Hard,What is importance weighting for covariate shift?,Regularization,No correction,Reweight training samples by ratio of test to train density to correct bias,Data augmentation,C
879,PrepMaster,General,AI & ML,ML Basics,Hard,What is rejection sampling?,MCMC,Inverse transform,Importance sampling,Generate samples from target distribution using easier proposal distribution,D
880,PrepMaster,General,AI & ML,ML Basics,Hard,What is the curse of dimensionality for density estimation?,No curse,Only for clustering,Exponentially more data needed to cover high-dimensional space,Only for classification,C
881,PrepMaster,General,AI & ML,ML Basics,Hard,What is kernel density estimation (KDE)?,Non-parametric method estimating probability density using kernel functions,GMM,Histogram only,Parametric density,A
882,PrepMaster,General,AI & ML,ML Basics,Hard,What is the bandwidth parameter in KDE?,Kernel type,"Controls smoothness: small=wiggly (overfit), large=smooth (underfit)",No parameter,Fixed parameter,B
883,PrepMaster,General,AI & ML,ML Basics,Medium,What is model ensembling at test time?,Best model,Fastest model,Single model,Average predictions from multiple models for better accuracy and calibration,D
884,PrepMaster,General,DevOps Engineer,Docker,Easy,What is Docker?,Cloud provider,CI/CD tool,VM software,Platform for packaging applications into portable containers,D
885,PrepMaster,General,DevOps Engineer,Docker,Easy,What is a Docker container?,Disk image,Virtual machine,Lightweight isolated runtime environment sharing host OS kernel,Process only,C
886,PrepMaster,General,DevOps Engineer,Docker,Easy,What is a Docker image?,VM snapshot,Read-only template for creating containers,Zip archive,Running container,B
887,PrepMaster,General,DevOps Engineer,Docker,Easy,What is a Dockerfile?,Script with instructions to build a Docker image,Container config,Docker binary,Registry file,A
888,PrepMaster,General,DevOps Engineer,Docker,Easy,What does FROM in Dockerfile do?,Copies files,Runs commands,Specifies the base image for the build,Sets working directory,C
889,PrepMaster,General,DevOps Engineer,Docker,Easy,What does RUN in Dockerfile do?,Starts services,Executes commands in a new layer during build,Copies files,Runs container,B
890,PrepMaster,General,DevOps Engineer,Docker,Easy,What does COPY in Dockerfile do?,Runs commands,Copies files from host to image filesystem,Exposes ports,Copies environment vars,B
891,PrepMaster,General,DevOps Engineer,Docker,Easy,What does CMD in Dockerfile do?,Copy command,Install command,Build command,Default command to run when container starts,D
892,PrepMaster,General,DevOps Engineer,Docker,Hard,What is the difference between CMD and ENTRYPOINT?,ENTRYPOINT is always executed; CMD provides default arguments,ENTRYPOINT is optional,CMD is always executed,No difference,A
893,PrepMaster,General,DevOps Engineer,Docker,Medium,What does EXPOSE in Dockerfile do?,Opens port on host,Blocks port,Documents which port container listens on (doesn't actually publish),Creates port mapping,C
894,PrepMaster,General,DevOps Engineer,Docker,Easy,What does ENV in Dockerfile do?,Sets environment variable in the image,Installs package,Exports variable,Runs environment,A
895,PrepMaster,General,DevOps Engineer,Docker,Easy,What does WORKDIR in Dockerfile do?,Sets the working directory for subsequent instructions,Changes user,Creates directory only,Changes permissions,A
896,PrepMaster,General,DevOps Engineer,Docker,Medium,What is a Docker volume?,Cache storage,Temporary storage,Memory storage,Persistent storage that exists outside container lifecycle,D
897,PrepMaster,General,DevOps Engineer,Docker,Medium,What is a bind mount?,Temp file,Memory mount,Mounts a host filesystem path into the container,Docker volume,C
898,PrepMaster,General,DevOps Engineer,Docker,Easy,What does docker build do?,Pushes image,Pulls image,Runs container,Builds a Docker image from a Dockerfile,D
899,PrepMaster,General,DevOps Engineer,Docker,Easy,What does docker run do?,Builds image,Creates and starts a container from an image,Stops container,Removes container,B
900,PrepMaster,General,DevOps Engineer,Docker,Medium,What does -d flag in docker run do?,Adds debug mode,Deletes after exit,Disables networking,Runs container in detached (background) mode,D
901,PrepMaster,General,DevOps Engineer,Docker,Medium,What does -p 8080:80 flag do?,Maps host port 8080 to container port 80,Sets memory,Adds network,Maps volumes,A
902,PrepMaster,General,DevOps Engineer,Docker,Easy,What does docker ps do?,Lists volumes,Lists networks,Lists images,Lists running containers,D
903,PrepMaster,General,DevOps Engineer,Docker,Easy,What does docker ps -a do?,Lists all containers (running and stopped),Lists all networks,Lists all volumes,Lists all images,A
904,PrepMaster,General,DevOps Engineer,Docker,Easy,What does docker images do?,Lists registries,Lists volumes,Lists containers,Lists locally stored images,D
905,PrepMaster,General,DevOps Engineer,Docker,Easy,What does docker pull do?,Runs container,Builds image,Pushes image,Downloads image from registry,D
906,PrepMaster,General,DevOps Engineer,Docker,Easy,What does docker push do?,Pulls image,Builds image,Runs container,Uploads image to a registry,D
907,PrepMaster,General,DevOps Engineer,Docker,Easy,What is Docker Hub?,Public registry for Docker images,Docker's cluster manager,Docker's IDE,Docker's CI/CD tool,A
908,PrepMaster,General,DevOps Engineer,Docker,Medium,What does docker exec do?,Runs a command inside running container,Runs on host,Starts new container,Builds image,A
909,PrepMaster,General,DevOps Engineer,Docker,Easy,What does docker logs do?,Shows container stdout/stderr logs,Shows build logs,Shows system logs,Shows image logs,A
910,PrepMaster,General,DevOps Engineer,Docker,Easy,What does docker stop do?,Gracefully stops a running container (SIGTERM),Force kills,Pauses container,Removes container,A
911,PrepMaster,General,DevOps Engineer,Docker,Easy,What does docker rm do?,Removes a stopped container,Removes image,Removes network,Removes volume,A
912,PrepMaster,General,DevOps Engineer,Docker,Easy,What does docker rmi do?,Removes volume,Removes network,Removes container,Removes a Docker image,D
913,PrepMaster,General,DevOps Engineer,Docker,Easy,What is Docker Compose?,Container monitoring,Single container tool,Container registry,Tool for defining multi-container apps with docker-compose.yml,D
914,PrepMaster,General,DevOps Engineer,Docker,Easy,What is the purpose of docker-compose.yml?,Build script,"Defines services, networks, and volumes for multi-container apps",Dockerfile replacement,Image config,B
915,PrepMaster,General,DevOps Engineer,Docker,Easy,What does docker-compose up do?,Builds only,Stops services,Creates and starts all services in compose file,Removes services,C
916,PrepMaster,General,DevOps Engineer,Docker,Medium,What does docker-compose down do?,Just stops containers,Just removes images,"Stops and removes containers, networks, and volumes",Just removes volumes,C
917,PrepMaster,General,DevOps Engineer,Docker,Medium,What is a Docker network?,Virtual network enabling containers to communicate,Container storage,Image layer,Build cache,A
918,PrepMaster,General,DevOps Engineer,Docker,Hard,What are the default Docker network drivers?,"public, private, isolated","internal, external, shared","tcp, udp, nat","bridge, host, none, overlay",D
919,PrepMaster,General,DevOps Engineer,Docker,Medium,What is the bridge network in Docker?,No networking,Default network for containers on single host,Multi-host network,Host networking,B
920,PrepMaster,General,DevOps Engineer,Docker,Hard,What is overlay network in Docker?,Multi-host network for Docker Swarm services,Single host network,DNS network,Bridge variant,A
921,PrepMaster,General,DevOps Engineer,Docker,Medium,What is Docker layer caching?,Container caching,Reusing unchanged Dockerfile layers to speed up builds,Volume caching,Network caching,B
922,PrepMaster,General,DevOps Engineer,Docker,Hard,Why should you order Dockerfile instructions from least to most frequently changed?,For readability,For performance,To maximize layer cache utilization,For security,C
923,PrepMaster,General,DevOps Engineer,Docker,Hard,What is a multi-stage Dockerfile build?,Parallel builds,Multiple containers,Using multiple FROM statements to create smaller production images,Multi-arch builds,C
924,PrepMaster,General,DevOps Engineer,Docker,Easy,What is the difference between image and container?,Container is smaller,Image is running,Same thing,Image is template; container is running instance of image,D
925,PrepMaster,General,DevOps Engineer,Docker,Medium,What is Docker Swarm?,Monitoring tool,Registry tool,Native Docker cluster management and orchestration tool,Security tool,C
926,PrepMaster,General,DevOps Engineer,Docker,Medium,What is the difference between Docker Swarm and Kubernetes?,K8s is more powerful with larger ecosystem; Swarm is simpler,No difference,Swarm is more complex,K8s is Docker-only,A
927,PrepMaster,General,DevOps Engineer,Docker,Easy,What is a Docker registry?,Container manager,Build system,Storage and distribution system for Docker images,Monitoring system,C
928,PrepMaster,General,DevOps Engineer,Docker,Medium,What is a private registry?,Local registry,Encrypted registry,Public registry,"Registry accessible only within organization (e.g., ECR, GCR)",D
929,PrepMaster,General,DevOps Engineer,Docker,Medium,What does .dockerignore do?,Ignores Docker commands,Excludes files/directories from the build context,Excludes networks,Skips layers,B
930,PrepMaster,General,DevOps Engineer,Docker,Hard,What is the HEALTHCHECK instruction?,Logs health data,Defines command Docker uses to check if container is healthy,Sets up monitoring,Monitors CPU,B
931,PrepMaster,General,DevOps Engineer,Docker,Medium,What is docker inspect?,Shows logs,Builds images,Returns detailed JSON information about Docker objects,Runs containers,C
932,PrepMaster,General,DevOps Engineer,Docker,Medium,What is docker stats?,Shows images,Shows networks,Shows logs,"Shows live resource usage (CPU, memory) of containers",D
933,PrepMaster,General,DevOps Engineer,Docker,Hard,What is the principle of immutable containers?,Images are mutable,Containers should not be modified in place — rebuild and redeploy,Containers are permanent,Containers can't be deleted,B
934,PrepMaster,General,DevOps Engineer,Docker,Hard,What is a scratch image?,Default base image,Debug image,Minimal empty base image for building from scratch,Test image,C
935,PrepMaster,General,DevOps Engineer,Docker,Hard,What does USER instruction in Dockerfile do?,Creates user,Sets the user for running subsequent commands (security best practice),Deletes user,Lists users,B
936,PrepMaster,General,DevOps Engineer,Docker,Medium,What is container orchestration?,Manual management,Container building,"Automating deployment, scaling, and management of containers",Image distribution,C
937,PrepMaster,General,DevOps Engineer,Docker,Hard,What is tini?,Container OS,Monitoring agent,Minimal init system to handle PID 1 signal handling in containers,Build tool,C
938,PrepMaster,General,DevOps Engineer,Docker,Hard,What is a Docker socket?,Unix socket (/var/run/docker.sock) for communicating with Docker daemon,Volume socket,File socket,Network socket,A
939,PrepMaster,General,DevOps Engineer,Docker,Medium,What is the Docker daemon?,Build cache,Registry server,CLI tool,"Background service managing Docker objects (images, containers, networks)",D
940,PrepMaster,General,DevOps Engineer,Docker,Medium,What is context in docker build?,Network context,Layer context,Files sent to Docker daemon for building (current directory by default),Build cache,C
941,PrepMaster,General,DevOps Engineer,Docker,Hard,What is the ADD instruction vs COPY?,ADD is deprecated,No difference,ADD can untar archives and fetch URLs; COPY is simpler and preferred,COPY is deprecated,C
942,PrepMaster,General,DevOps Engineer,Docker,Medium,What is docker prune?,Pulls updates,Cleans logs,Rebuilds images,"Removes unused Docker objects (containers, images, networks, volumes)",D
943,PrepMaster,General,DevOps Engineer,Docker,Medium,What is the difference between docker stop and docker kill?,stop sends SIGTERM; kill sends SIGKILL immediately,kill is graceful,No difference,stop is immediate,A
944,PrepMaster,General,DevOps Engineer,Docker,Medium,What is a container restart policy?,Volume policy,Network policy,Resource limit,"Configures whether/when Docker auto-restarts containers (always, on-failure)",D
945,PrepMaster,General,DevOps Engineer,Docker,Hard,What is dind (Docker in Docker)?,Running Docker daemon inside a Docker container,Container testing,Debug mode,Docker development mode,A
946,PrepMaster,General,DevOps Engineer,Docker,Hard,What is a read-only container?,"Container with --read-only flag, filesystem cannot be written to",Container without exec,Container with no volumes,Container with no logs,A
947,PrepMaster,General,DevOps Engineer,Docker,Hard,What is Docker content trust?,Content delivery,Image compression,Signs and verifies Docker images for security,Image encryption,C
948,PrepMaster,General,DevOps Engineer,Docker,Hard,What is a Docker plugin?,Image plugin,Container plugin,"Extension adding functionality to Docker daemon (logging, volumes)",Docker extension,C
949,PrepMaster,General,DevOps Engineer,Docker,Medium,What is --no-cache in docker build?,Disables build logs,Disables volumes,Disables network,"Disables layer caching, performs fresh build from scratch",D
950,PrepMaster,General,DevOps Engineer,Docker,Medium,What is the purpose of ARG in Dockerfile?,Runtime variable,Secret variable,Environment variable,Defines build-time variables passed via --build-arg,D
951,PrepMaster,General,DevOps Engineer,Docker,Hard,What is the difference between ARG and ENV in Dockerfile?,No difference,ENV is build-time only,ARG persists longer,ARG is build-time only; ENV persists in the image and runtime,D
952,PrepMaster,General,DevOps Engineer,Docker,Hard,What is a Docker namespace?,Registry namespace,Docker's naming convention,Linux feature providing process isolation for containers,Network namespace only,C
953,PrepMaster,General,DevOps Engineer,Docker,Hard,What is a cgroup?,Container group,"Linux feature limiting resource (CPU, memory) usage for containers",Network group,Process group,B
954,PrepMaster,General,DevOps Engineer,Docker,Hard,What is seccomp in Docker security?,Security compliance,Certificate management,Secret communication,System call filtering to restrict container capabilities,D
955,PrepMaster,General,DevOps Engineer,Docker,Hard,What is a multi-arch image?,"Single image tag serving different CPU architectures (amd64, arm64)",Multi-stage build,Multi-layer image,Multiple images,A
956,PrepMaster,General,DevOps Engineer,Docker,Hard,What is ONBUILD instruction?,Always runs on build,Runs on pull,Runs on container start,Adds trigger instruction to execute when image is used as base,D
957,PrepMaster,General,DevOps Engineer,Docker,Easy,What does docker tag do?,Renames container,Creates a new tag for an existing image,Labels volume,Tags network,B
958,PrepMaster,General,DevOps Engineer,Docker,Hard,What is Docker's copy-on-write filesystem?,Write-only filesystem,Full filesystem copy,Read-only filesystem,Containers share image layers and only write differences,D
959,PrepMaster,General,DevOps Engineer,Docker,Medium,What is a LABEL in Dockerfile?,"Adds metadata key-value pairs to image (author, version, etc.)",Tags the image,Adds environment var,Renames layer,A
960,PrepMaster,General,DevOps Engineer,Docker,Hard,What is the init flag in docker run?,Runs init process as PID 1 for proper signal handling,Initializes network,Starts daemon,Initializes volumes,A
961,PrepMaster,General,DevOps Engineer,Docker,Hard,What is container drift?,Production container having different state than original image,Version drift,Container update,Configuration change,A
962,PrepMaster,General,DevOps Engineer,Docker,Hard,What is Distroless image?,Base OS image,"Minimal image containing only application and runtime, no shell",Debug image,Empty image,B
963,PrepMaster,General,DevOps Engineer,Docker,Hard,What is BuildKit?,Container runtime,Next-generation Docker build engine with better performance and security,Registry tool,Build cache,B
964,PrepMaster,General,DevOps Engineer,Docker,Hard,What is the purpose of STOPSIGNAL in Dockerfile?,Sets the signal sent to container to stop it,Logs signals,Blocks signals,Starts container,A
965,PrepMaster,General,DevOps Engineer,Docker,Hard,What is docker commit?,Testing tool,Backup method,Creates image from running container's current state (anti-pattern),Best practice,C
966,PrepMaster,General,DevOps Engineer,Docker,Hard,What is a tmpfs mount?,Network storage,Disk-backed storage,"Temporary filesystem stored in host memory, not persisted",Permanent volume,C
967,PrepMaster,General,DevOps Engineer,Docker,Medium,What is container image scanning?,Performance scanning,Checking container images for known security vulnerabilities,Log scanning,Network scanning,B
968,PrepMaster,General,DevOps Engineer,Docker,Medium,What tool is commonly used for image scanning?,Grafana,Jaeger,Trivy or Snyk,Prometheus,C
969,PrepMaster,General,DevOps Engineer,Docker,Hard,What is OCI (Open Container Initiative)?,Oracle Container Interface,Optional Container Init,Standards for container formats and runtimes,Open source container,C
970,PrepMaster,General,DevOps Engineer,Docker,Hard,What is containerd?,Industry-standard container runtime used by Kubernetes,Build tool,Registry server,Docker Compose alternative,A
971,PrepMaster,General,DevOps Engineer,Docker,Hard,What is runc?,Low-level OCI container runtime used by containerd,Registry tool,High-level runtime,Build engine,A
972,PrepMaster,General,DevOps Engineer,Docker,Hard,What is the difference between docker run -v and --mount?,--mount is more explicit and recommended; -v is shorthand,--mount is deprecated,No difference,-v is deprecated,A
973,PrepMaster,General,DevOps Engineer,Docker,Medium,What is a named volume vs anonymous volume?,Anonymous volumes persist longer,No difference,Named volumes are temporary,Named has user-defined name; anonymous has Docker-generated hash,D
974,PrepMaster,General,DevOps Engineer,Docker,Hard,What is volume driver?,"Plugin for storing volumes on external storage (NFS, cloud)",Volume backup,Storage compression,Volume encryption,A
975,PrepMaster,General,DevOps Engineer,Docker,Medium,What does docker volume prune do?,Removes all unused (not mounted by any container) volumes,Removes all volumes,Lists volumes,Compresses volumes,A
976,PrepMaster,General,DevOps Engineer,Docker,Hard,What is docker save and docker load?,Same as push/pull,Both deprecated,Save runs container; load builds,Save exports image to tar; load imports tar as image,D
977,PrepMaster,General,DevOps Engineer,Docker,Medium,"What is a distro-specific image tag (e.g., alpine, slim)?",Different version,Different OS,Alpine/slim are minimal variants; alpine uses musl libc,Different architecture,C
978,PrepMaster,General,DevOps Engineer,Kubernetes,Easy,What is Kubernetes (K8s)?,Cloud provider,CI/CD tool,Open-source container orchestration platform for automating deployment and scaling,Docker alternative,C
979,PrepMaster,General,DevOps Engineer,Kubernetes,Easy,What is a Pod in Kubernetes?,Service,Virtual machine,Single container only,"Smallest deployable unit, one or more containers sharing network/storage",D
980,PrepMaster,General,DevOps Engineer,Kubernetes,Easy,What is a Node in Kubernetes?,Namespace,Physical or virtual machine in the cluster running Pods,Service,Pod group,B
981,PrepMaster,General,DevOps Engineer,Kubernetes,Easy,What is a Cluster in Kubernetes?,Namespace,Single node,Pod group,Group of nodes managed by Kubernetes control plane,D
982,PrepMaster,General,DevOps Engineer,Kubernetes,Medium,What is the Control Plane?,Pod group,Worker nodes,"Set of components managing the cluster (API server, etcd, scheduler, controller)",Service mesh,C
983,PrepMaster,General,DevOps Engineer,Kubernetes,Medium,What is the API server in K8s?,Storage system,Network plugin,Worker component,"Front-end for K8s control plane, processes REST API requests",D
984,PrepMaster,General,DevOps Engineer,Kubernetes,Hard,What is etcd?,Distributed key-value store used as K8s cluster backing store,Load balancer,Scheduler,Container runtime,A
985,PrepMaster,General,DevOps Engineer,Kubernetes,Medium,What is the Scheduler in K8s?,Assigns unscheduled Pods to nodes based on resource availability,Manages state,Stores configuration,Handles API requests,A
986,PrepMaster,General,DevOps Engineer,Kubernetes,Medium,What is a Deployment in K8s?,Manages ReplicaSet ensuring desired number of identical Pods running,Single Pod manager,Network config,Node manager,A
987,PrepMaster,General,DevOps Engineer,Kubernetes,Medium,What is a ReplicaSet?,Service type,Namespace,Deployment itself,Ensures a specified number of Pod replicas are running at all times,D
988,PrepMaster,General,DevOps Engineer,Kubernetes,Easy,What is a Service in K8s?,Stable network endpoint with DNS name to access a set of Pods,Configuration,Physical machine,Pod group,A
989,PrepMaster,General,DevOps Engineer,Kubernetes,Medium,What is ClusterIP service?,Load balancer,Node port,"Exposes service on internal cluster IP (default, not externally accessible)",External service,C
990,PrepMaster,General,DevOps Engineer,Kubernetes,Medium,What is NodePort service?,Ingress,Internal service,Exposes service on each Node's IP at a static port,Load balancer,C
